구군분류,음식분류,업소명,전화번호,영업시간,좌석수,주차장,홈페이지,가능 외국어,예약여부,유아시설,죄식유무,후식유무,메뉴,간단설명,지하철,버스
북구,중식,청나라짬뽕짜장,053-382-7120,10:00 ~ 21:00,75석,30대,없음,기타 (),가능.,불가능,불가능,불가능,"짜장면 5,000원  짬뽕 6,000원탕수육 11,000원 ~ 27,000원",옛날 추억의 손맛과 중국의 분위기를 함께 느낄수 있는 중국 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `전자상가` 정류장이 가장 가깝습니다.
북구,양식,낭만에,053-383-3486,17:00 ~ 02:00,80석,15대,없음,기타 (),가능,불가능,불가능,가능,"돈까스 20,000원    커피 5,000원마른안주 20,000원  과일안주 30,000원오징어 땅콩 15,000원 (주류판매)","주인이 만든 특유의 돈까스와 소스, 그리고 음악이 있는 경양식전문 음식점이다.",주변에 지하철이 없습니다.,버스 정류장은 `한국패션센터` 정류장이 가장 가깝습니다.
북구,한식,봉창이해물칼국수(산격점),053-383-0110,10:00 ~ 22:00,72석,10대,없음,기타 (),가능,불가능,불가능,가능,"해물칼국수 6,000원  김치왕만두 4,000원메밀국수/메밀비빔국수 6,000원  김치칼국수 7,000원해물파전 10,000원 버섯쇠고기샤브칼국수 8,000원",싱싱한 해물로 우려낸 육수로 손님의 입맛을 돋우는 칼국수 전문 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `한국패션센터` 정류장이 가장 가깝습니다.
북구,중식,용원,053-382-3472,09:30 ~ 21:30,130석,20대,없음,기타 (),가능,불가능,불가능,가능,"짜장면 5,500원  짬뽕 6,500원홍합짬뽕 8,000원  삼선짬뽕(백짬뽕) 8,000원홍합쟁반야끼우동(2인) 18,000원",수타 짜장면집이다. 짜장면과 짬뽕이 맛있는 집,주변에 지하철이 없습니다.,버스 정류장은 `한국패션센터` 정류장이 가장 가깝습니다.
북구,한식,곡해초복어칼국수,053-959-2651,10:00 ~ 22:00,44석,인근 주차장,없음,기타 (),가능,불가능,불가능,가능,"복어칼국수 6,000원  밀복탕 12,000원찜 25,000원 ~ 30,000원  복어탕 8,000원","쇠고기와 함께 곡물, 해초, 약초로 만든 별미 칼국수를 즐길수 있는 음식점이다.",주변에 지하철이 없습니다.,버스 정류장은 `산격초등학교건너` 정류장이 가장 가깝습니다.
북구,한식,해송복어,053-382-2224,10:00 ~ 22:00,2실 100석,공영주차장,없음,기타 (),가능,불가능,불가능,가능,"복어수육 27,000원 ~ 37,000원  복어지리(밥포함) 9,000원복어탕(밥포함) 9,000원  복어불고기 12,000원밀복탕/밀복지리(밥포함) 15,000원  복어찜 27,000원 ~ 37,000원",북구청에서 추천해준 북구 맛집으로 최상의 재료만을 사용한 복어 맛의 진수를 주장하는 복어전문 음식점이다. 복불고기를 먹고 나면 그 위에 볶음밥을 해서 먹을 수 있다.,주변에 지하철이 없습니다.,버스 정류장은 `북대구초등학교건너` 정류장이 가장 가깝습니다.
북구,한식,유통복어,053-383-8833,11:00 ~ 23:00,80석,10대,없음,기타 (),가능,불가능,불가능,가능,"복불고기 12,000원  복수육 27,000원 ~ 35,000원복껍질회 13,000원",신선한 콩나물과 미나리를 이용하여 복어의 진정한 맛을 만들어 내는 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `북대구초등학교건너` 정류장이 가장 가깝습니다.
북구,한식,연화정삼계탕굴국밥,053-384-9982,10:00 ~ 22:00,120석,공영주차장,없음,기타 (),가능,불가능,불가능,가능,"삼계탕 13,000원  굴국밥 7,000원생굴전 8,000원 ~ 10,000원  매생이굴국밥 9,000원",재료 하나하나 선별하여 조리하는 차별화된 맛의 삼계탕 전문 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `북대구초등학교건너` 정류장이 가장 가깝습니다.
북구,한식,독도,053-383-4433,10:00 ~ 22:00,100석,30대,없음,영어 기타 (),가능,불가능,불가능,가능,"복어탕 9,000원 복어샤브 21,000원복불고기 12,000원  곤드레돌솥밥 7,000원복어찜 33,000원",아늑한 분위기와 시원하고 얼큰한 복어의 맛이 어울어진 복어전문 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `전자상가` 정류장이 가장 가깝습니다.
북구,한식,(맥)참숯불식육식당,053-382-9277,10:00 ~ 22:00,240석(룸9),40대,없음,영어 기타 (),가능,불가능,불가능,가능,"안창살 토시살 (100g) 27,000원  갈비살 (100g) 21,000원등심 (100g) 21,000원  삼겹살 (130g) 8,000원[점심특선 및 식사류]돌솥불고기정식 16,000원  옛날불고기정식 13,000원한우곰탕 소고기국밥 7,000원",신선한 야채와 함께 최고급 한우쇠고기를 판매하는 구이전문 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `한국패션센터` 정류장이 가장 가깝습니다.
북구,한식,장마당,053-384-9033,10:00 ~ 23:00,160석,30대,http://www.jangmadang.co.kr/main.php,기타 (),가능,가능,불가능,가능,"장마당보쌈 32,000원 ~ 40,000원  생선구이쌈밥 10,000원해물순두부 7,500원  보쌈정식 9,000원","삶은 돼지고기와 일품인 김치, 보기만 해도 맛깔나는 보쌈 전문 음식점이다.",주변에 지하철이 없습니다.,버스 정류장은 `한국패션센터` 정류장이 가장 가깝습니다.
북구,한식,우뚝해장국,053-384-5656,24시간,100석,8대,없음,중국어<BR>기타 (),가능,불가능,가능,가능,"뼈해장국 7,000원  선지해장국 7,000원감자탕 23,000원 ~ 33,000원  등뼈찜 25,000원 ~ 35,000원",최상의 재료를 사용한 우뚝 선 특유의 맛으로 손님 입맛을 돋구는 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `북대구초등학교건너` 정류장이 가장 가깝습니다.
북구,한식,양반보쌈,053-384-2225,10:00 ~ 23:30,60석,8대,없음,영어 기타 (),가능,불가능,불가능,가능,"양반보쌈 25,000원 ~29,000원  모듬보쌈 37,000원홍어무침 20,000원  김치보쌈 25,000원 ~ 29,000원",고집스럽게 맛과 친절이 우리고장 최고임을 자랑하는 보쌈 전문 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `북대구초등학교건너` 정류장이 가장 가깝습니다.
북구,한식,아미정,053-382-2238,10:00 ~ 22:00,48석(룸18),10대,없음,기타 (),가능,불가능,불가능,가능,"한정식코스요리 23,000원 ~ 50,000원 점심특선 15,000원",고급스러운 실내분위기에서 전통의 맛을 즐길 수 있는 한정식 전문 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `중소기업관앞` 정류장이 가장 가깝습니다.
북구,한식,봉봉해물탕,053-383-8000,10:00 ~ 22:00,500석(룸6),공영주차장,없음,기타 (),가능,가능,불가능,가능,"해물탕 39,000원 ~ 59,000원  해물찜꽃게찜 35,000원 ~ 55,000원",해산물을 이용한 국물과 양념의 맛이 항상 최고임을 주장하는 음식점이다.,주변에 지하철이 없습니다.,버스 정류장은 `유통단지회차지2` 정류장이 가장 가깝습니다.
북구,한식,갓바위산골순두부보쌈,053-381-8860,24시간,68석,10대,없음,기타 (),가능,불가능,불가능,가능,"콩비지찌개 7,500원  청국장 7,500원순두부찌개 7,500원  보쌈정식 10,000원송이해물순두부찌개 10,000원","국산 콩으로 직접 만든 두부, 청국장, 비지로 옛날 맛을 지켜 가는 음식점이다.",주변에 지하철이 없습니다.,버스 정류장은 `한국패션센터` 정류장이 가장 가깝습니다.
동구,한식,신암태양칼국수,053-951-0321,10:00 ~ 22:00,120석(룸2),인근 주차가능(4대),없음,기타 (),예약가능,불가능,불가능,불가능,"칼국수 6,500원 감자만두 5,000원만두칼국수 7,500원 돼지수육 22,000원암뽕 16,000원 수육+암뽕 22,000원족발 22,000원 콩국수(여름메뉴) 7,500원냉국수(여름메뉴) 5,500원",동구에서 가장 오래된 칼국수 전문점으로 3대째 내려오는 전통칼국수 전문점입니다..,지하철 1호선 신천역 약 2km,버스 정류장은 `동신초등학교 건너` 정류장이 가장 가깝습니다.
동구,한식,기와집,053-981-0364,09:30 ~ 21:30,72석(룸3),주차불가,없음,영어 기타 (),가능,불가능,불가능,가능,"한정식 10,000원 삼계탕(2인이상) 10,000원갈치찌개(2인이상) 10,000원 메로찜 40,000원닭도리탕 35,000원  오리훈제 35,000원해물전 10,000원  촌두부 5,000원묵무침 5,000원",기와집은 한정식과 삼계탕 등 한식 전문점입니다.,주변에 지하철이 없습니다.,버스 정류장은 `블로전통시장건너` 정류장이 가장 가깝습니다.
동구,한식,강릉원조초당순두부,053-959-1155,08:00 ~ 21:00,100석(룸1),8대,없음,기타 (),가능,불가능,가능,가능,"초당불고기정식(1인분) 13,000원  초당황태정식(1인분) 13,000원두부전골(1인분) 12,000원  초당송이찌개정식(1인분) 10,000원초당순두부찌개 8,000원  초당순두부백반 8,000원청국장 7,000원  황태찜 25,000원 ~ 30,000원황태구이 (대) 25,000원  황태구이 (소) 18,000원",인근에 공원이 있어 가족 나들이를 겸한 외식장소로 안성맞춤이다.,지하철 1호선 동촌역 3번 출구 약 650m,버스 정류장은 `대구일마이스터고교앞` 정류장이 가장 가깝습니다.
동구,한식,청석돌식당,053-981-5090,12:00 ~ 23:00,60석,6대,없음,기타 (),가능,불가능,불가능,가능,"한우차돌박이(100g) 9,500원  생삼겹살(150g) 8,000원생항정살(150g) 8,500원  생가브리살(150g) 8,000원생돼지모듬(600g) 32,000원  돼지왕갈비(150g) 6,500원돼지고추장불고기(2인이상) 6,000원 냉면 5,000원매운냉면 5,000원",100% 국내산 브랜드 생고기만을 사용하여 부추와 함께 구워먹는 생삼겹살과 돼지 특수부위 전문점입니다.,지하철 1호선 방촌역 1번 출구 약 140m,버스 정류장은 `방촌건널목` 정류장이 가장 가깝습니다.
동구,한식,천서리원조메밀면,053-981-6001,09:30 ~ 21:30,100석(룸6),40대,www.gatbawe.com/,영어 기타 (),가능,불가능,불가능,가능,"한방수육 20,000원  메밀버섯전 12,000원메밀전병 7,000원  메밀만두 5,000원메밀파전 10,000원  비빔메밀면 7,000원동치미메밀면 7,000원  메밀수제비 7,000원한방닭도리탕/백숙 45,000원","천서리원조메밀면은 메밀면, 메밀버섯전, 한방수육 등 천서리에서 직접 요리를 배워와서 대구에서 오픈한 메밀면 전문식당입니다.",주변에 지하철이 없습니다.,버스 정류장은 `갓바위` 정류장이 가장 가깝습니다.
동구,중식,왕산손짜장,053-984-1344,10:00 ~ 21:00,57석,7대,없음,영어 기타 (),가능,불가능,불가능,가능,"짜장면 5,000원  짬뽕 6,000원간짜장 6,000원  삼선쟁반우동(2인분) 14,000원삼선쟁반짜장(2인분) 12,000원  라조기 23,000원탕수육 10,000원  깐풍기 23,000원전가복 60,000원",구수한 전통 짜장면의 맛을 느끼고자 하는 손님들이 한번 드신 후 그 맛을 잊을수 없어서 다시 찾아오는 단골손님이 많은 곳으로 깨끗하고 멋스런 실내 분위기가 음식과 어우러진 맛집이다.,주변에 지하철이 없습니다.,버스 정류장은 `봉무청구새들마을앞` 정류장이 가장 가깝습니다.
동구,한식,팔공참한우마실,053-982-3382,10:00 ~ 22:00,150석,40대,팔공참한우마실.aui.kr,기타 (),가능,불가능,불가능,가능,"갈비살(120g) 22,000원  꽃등심(120g) 22,000원육회 20,000원/30,000원 안창살(120g) 28,000원한우불고기 11,000원  돌솥밥정식 10,000원",농장직영의 순수 한우 최고등급인 A1++ 만을 사용하기 때문에 육질이 부드럽고 고소하여 남녀 노소 누구나가 부담없이 고기를 즐길수 있으며 팔공산 가는 길목에 위치하고 있어 드라이브하기에도 좋고 100명 이상 수용 할 수 있는 넓은 별관과 주차장을 갖고 있어 각종 행사예약에 좋다.,주변에 지하철이 없습니다.,버스 정류장은 `공산동주민센터앞` 정류장이 가장 가깝습니다.
동구,한식,영화식당(내부수리중),053-983-4540,10:00 ~ 22:30,100석(룸12),30대,없음,영어 기타 (),가능,불가능,불가능,가능,"송이버섯백숙 60,000원  송이닭도리탕 60,000원꿩송이탕 65,000원  토종한방백숙 40,000원토종찜닭 38,000원 토종닭백숙 38,000원토종옻닭 40,000원 토종닭도리탕 38,000원유황오리주물럭 40,000원  유황오리도리탕/백숙 40,000원","영화식당은 토종닭요리 전문점으로 유황오리, 송이버섯요리, 메기매운탕 등 다양한 음식을 맛보실 수 있는 음식점입니다.",주변에 지하철이 없습니다.,버스 정류장은 `파계사(종점)` 정류장이 가장 가깝습니다.
동구,한식,안일쌈갈비골,053-964-1006,11:00 ~ 22:00,72석(룸1),주차불가,http://cityfood.co.kr/h9/anilssam,기타 (),가능,불가능,불가능,가능,"돼지갈비(200g) 5,500원  버섯불고기(200g) 8,000원등심(120g) 18,000원  왕갈비(200g) 6,500원생삼겹살(130g) 8,000원  돼지갈비(포장)(1인분) 5,000원왕갈비(포장)(1인분) 6,000원  (점심특선:갈비정식 7,000원, 불고기정식 8,000원, 김치찌개 7,000원, 갈삼냉면 7,000원)",항생제 없는 최고급 제일제당 고기로 믿을수 있는 맛을 제공하며 수경 재배한 농장 직송한 신선도 높은 야채로 미각을 돋구워 준다. 65세 이상 어르신과 장애인들을 위한 우대 음식점(20%DC)으로 정성껏 손님을 모신다.,지하철 1호선 율하역 5번 출구 340m,버스 정류장은 `율하역(5번출구)` 정류장이 가장 가깝습니다.
동구,한식,안심농장직영식육식당,053-964-0022,09:30 ~ 21:30,180석(방2),100대,없음,기타 (),가능,불가능,불가능,가능,"뭉티기(300g) 27,000원  육회(250g) 25,000원쇠고기(150g) 18,000원  장국수 5,000원 ~ 6,000원볶음밥 2,000원",안심농장에서 직접 사육하여 금방 잡은 순수 한우 암소만을 사용하므로 육질이 연하고 맛이 좋아 전국 각지로 판매되고 있다. 대형 연회석과 넓은 주차장이 있어 단체모임에 좋다.,주변에 지하철이 없습니다.,"버스 정류장은 ""숙천동 건너"" 정류장이 가장 가깝습니다."
동구,한식,보금신토불이,053-983-0666,11:00 ~ 12:00,100석,20대,없음,영어 기타 (),가능,불가능,불가능,가능,"쌈밥 13,000원  쌀밥/보리밥 비빔밥 7,000원신토불이한정식 20,000원~35,000원  홍어삼합 40,000원~50,000원보쌈 25,000원~35,000원  소갈비찜(1인분) 20,000원시래기밥 10,000원  도다리쑥국(1인분) 15,000원",소박하고 깔끔한 토담집에서 즐기는 전통 한식집으로 주인이 만드는 정갈한 음식은 고향의 맛이 묻어 납니다. 특히 현지 답사 후 시식해 보고 구입한 흑산도 홍어로 만든 홍탁삼합은 특별한 맛이 있습니다.,지하철 1호선 방촌역 2번 출구 약 400m,버스 정류장은 `방촌시장앞` 정류장이 가장 가깝습니다.
동구,한식,삼영식당,053-982-0471,09:00 ~ 21:00,200석(룸1),35대,www.gatbawe.com,영어 기타 (),가능,불가능,불가능,가능,"청국장+돌솥밥 12,000원  순두부찌개+돌솥밥 12,000원한방백숙 45,000원  오리백숙 50,000원버섯전골 25,000원 ~ 30,000원  오리불고기 40,000원촌닭도리탕 45,000원  삼겹살(130g) 9,000원돼지양념갈비(200g) 9,000원  해물파전 9,000원메밀칼국수 6,000원  들깨메밀칼국수 7,000원",삼영식당은 100% 국산콩만 사용하여 직접 만드는 순두부요리 전문점입니다.,주변에 지하철이 없습니다.,버스 정류장은 `갓바위` 정류장이 가장 가깝습니다.
동구,한식,삼거리 뚜레박식당,053-985-5644,10:00 ~ 10:00,50석,100대,없음,기타 (),가능,불가능,불가능,가능,"논메기 매운탕 (대)30,000원  어탕국수/수제비 7,000원닭도리탕 30,000원  닭백숙 35,000원비빔밥 5,000원  파전 5,000원두부 5,000원",속풀이나 입맛이 없을때 이 집만의 특별한 비법으로 만든 시원하고 얼큰한 어탕으로 속도 풀고 넓은 마당이 있어 아이들이 뛰어 놀기도 좋아 가족 나들이도 하고 좋은 경치를 감상하며 스트레스 풀기에도 좋은 곳이다.,주변에 지하철이 없습니다.,버스 정류장은 `덕곡삼거리1` 정류장이 가장 가깝습니다.
동구,한식,산중식당,053-982-0077,11:30 ~ 21:30,180석(룸5),30대,sanjoong.co.kr,영어 기타 (),예약가능,불가능,불가능,가능,"곤드레밥보쌈세트(가득담다) 68,000원(4인) 곤드레보쌈세트(사랑담다) 15,000원(1인)불쭈꾸미세트(불맛담다) 12,900원(1인) 불쭈꾸미볶음 15,000원도토리묵무침 8,000원 도토리해물파전 8500원",팔공산케이블카 바로 아래 식당가에 자리잡고 있다. 1층과 2층으로 구성되어 있는데 2층은 큰 룸으로 이루어져 있어 단체손님이 이용하기 좋다.,주변에 지하철이 없습니다.,버스 정류장은 `동화시설집단지구(종점)` 정류장이 가장 가깝습니다.
동구,한식,고려가든,053-982-0103,09:30 ~ 21:30,200석(룸11),30대,www.0103.co.kr,기타 (),가능,불가능,불가능,가능,"자연산송이전골+송이돌솥밥한정식(1인분) 30,000원 버섯전골+송이돌솥밥한정식(1인분) 25,000원자연산송이전골 (소)34,000원 (대)64,000원 버섯전골 (소)24,000원 (대)48,000원한우소갈비살(100g) 20,000원  오리로스구이(600g) 36,000원오리훈제(600g) 42,000원 능이버섯닭백숙(1마리) 55,000원닭백숙 45,000원 버섯전골한정식(1인분) 20,000원산채비빔밥 8,000원 돌솥비빔밥 9,000원","고려가든은 산채,한정식 전문점으로 자연산송이요리 전문점입니다.",주변에 지하철이 없습니다.,버스 정류장은 `동화시설집단지구(종점)` 정류장이 가장 가깝습니다.
동구,양식,블루문레스토랑,053-981-8088,11:30 ~ 23:00,150석,40대,bluemoon.ofood.net/,영어 기타 (),가능,불가능,불가능,가능,"바다가재와 안심스테이크 54,000원/59,000원  왕새우와 안심스테이크 45,000원(점심특선30,000원/40,000원)안심스테이크 33,000원  한우햄버거스테이크 23,000원연어스테이크 27,000원  왕새우와 조개관자구이 32,000원얼리지않은 수제돈까스 17,000원  토마토소스해산물스파게티 17,000원까르보나라 17,000원  해산물볶음밥 16,000원","1992년 개업초기부터 식당의 기본은 "" 좋은 재료와 정성을 다한 조리에 있다"" 는 신념으로 양식 재료 구입에 용이한 전문관광식당에 등록하여 기본식자재를 특급호텔과 같은 수준으로 관광용품센타에서 구입하여 최상의 맛을 선보이고 있습니다.",주변에 지하철이 없습니다.,버스 정류장은 `파계사(종점)` 정류장이 가장 가깝습니다.
동구,한식,거송복어,053-984-6755,10:30 ~ 22:00,70석(룸3),12대,없음,기타 (),가능,불가능,불가능,가능,"모듬찜 : 50,000원 복어찜/가오리찜/아구찜/복전골 : 25,000원~45,000원복수육 : 30,000원/40,000원 낙지볶음 : 30,000원밀복탕/지리 : 14,000원 복불고기 : 13,000원밀복수육 : 40,000원~60,000원 복껍질무침회 : 15,000원복어탕/지리 : 8,000원 라면사리 : 2,000원복불볶음밥 : 2,000원",거송복어는 동구맛집지정점으로 38년 전통의 동구에서 가장 오래 된 복어전문점입니다.,지하철 1호선 방촌역 1번 출구 약 120m,버스 정류장은 `방촌건널목` 정류장이 가장 가깝습니다.
남구,한식,대덕식당,053-656-8111,24시간,250석,50대,없음,영어 기타 (),가능,불가능,가능,불가능,"선지국 6,000원  육개장 8,000원옛날간장찜닭 25,000원","대덕식당은 대구사람이라면 누구나 알만한 선지국밥으로 유명한 맛집이다. 1979년 성질분 여사가 문을 연 이래 현 주인장  아들이 이어받아 40년 전통의 맛을 유지하고 있다. 이 집 선지국의 비법은 특별한 것이 아니라, 신선한 재료와 좋은 양념 사용 등 음식의 기본에 충실한데 있다.",주변에 지하철이 없습니다.,버스 정류장은 `대덕식당 앞` 정류장이 가장 가깝습니다.
달성군,한식,토석정한식전문점,053-614-2282,11:00 ~ 22:00,80석,20여대,없음,일본어 기타 (),가능,불가능,불가능,가능,"청국장 6,000원 김치찌개  6,000원낙지버섯전골 20,000원 ~ 30,000원  왕김치찌개1인분 10,000원",토석정 한식전문식당의 대표적인 메뉴는 청국장이다. 주인이 직접 담근 국산콩으로 만들어 냄새가 적고 구수함이 훨씬 진하다.이곳에서 먹는 생삼겹살도 유난히 두툼하게 썰기 때문에 일품이다.,주변에 지하철이 없습니다.,정보없음
달성군,한식,큰바위식당,053-614-5498,11:00 ~ 21:00,200석,30대,없음,기타 (),가능,불가능,불가능,가능,"오리훈제 45,000원  오리한방백숙 45,000원오리불고기(3인분) 24,000원  닭백숙 40,000원보리밥 8,000원  순두부 8,000원",비슬산의 아름다운 경관과 계곡을 뒤로 하여 조용하고 정겨운 물소리를 들으며 놀 수 있는 평상이 있어 여름이면 멀리 떠나지 않고도 휴가의 기분을 느끼게 해 준다. 휴양림이 근접해 있어 가족들과 주말 나들이 장소로도 적격이다.,주변에 지하철이 없습니다.,버스 정류장은 `비슬산휴양림` 정류장이 가장 가깝습니다.
달성군,한식,바우산장식당,053-614-3399,12:00 ~ 22:00,140석(룸3),50,www.bawoosanjang.co.kr/,영어 기타 (),가능,가능,불가능,가능,"통돼지 바베큐 (400g) 19,000원  오리훈제 바베큐 50,000원",비슬산의 공기가 그대로 전해지는 곳으로  특별한 인테리어가 없어도 깔끔하게 정돈된 식당이 멋스럽다.여름엔 야외에서 먹을 수 있게 테이블이 마련되어 있다.,주변에 지하철이 없습니다.,정보 없음
달성군,한식,원조 현풍박소선 할매집곰탕,053-615-1122,09:00 ~ 21:00,150석(룸7),50대,없음,기타 (),가능,불가능,불가능,가능,"곰탕 11,000원  꼬리곰탕 17,000원수육 (小) 35,000원 (大) 40,000원  모듬수육 (특미) 55,000원","원조 현풍 박소선 할매곰탕은 전통 곰탕 명가이다. 때깔부터 다른 곰탕이다. 3대째 60년이 넘은, 진한 듯 노르스름한 입에 쩍쩍 달라붙는 진국을 낸다.",주변에 지하철이 없습니다.,버스 정류장은 `현풍할매곰탕` 정류장이 가장 가깝습니다
달성군,한식,버섯골,053-616-5558,10:00 ~ 22:00,100석,30대,없음,기타 (),가능,불가능,불가능,가능,"해물샤브샤브 15,000원  소고기 버섯샤브샤브 12,000원버섯불고기(1인분) 11,000원  새송이 버섯탕수육 10,000원 ~ 15,000원","버섯요리전문점 버섯골은 해물 샤브샤브와 소고기 버섯 샤브샤브가 주메뉴인데 특히 무공해 버섯류를 주 재료로 한 버섯요리는 우리의 전통 도자기인 원적외선 돌그릇에 담아, 독특한 맛과 향이 우러나 색다른 진한 맛을 느낄 수 있다.",주변에 지하철이 없습니다.,버스 정류장은 `북리2` 정류장이 가장 가깝습니다
달성군,한식,냄비집,053-615-6802,08:00 ~ 21:00,250석(룸2),50대,없음,기타 (),가능,불가능,가능,가능,"소머리국밥 9,000원  소머리국밥 9,000원소머리수육 30,000원 ~ 35,000원  북극열무냉면 7,000원우거지 8,000원  선지갈비 10,000원","내부 인테리어가 넓고 깔끔하여 통나무 테이블이 놓여 있어 고풍스러운 분위기를 연출한다. 건강한 식생활을 위해 화학조미료 및 향신료를 일절 사용하지 않으며, 주원료인 소머리는 국내산만을 사용하고 있다.",주변에 지하철이 없습니다.,버스 정류장은 `위천1리앞` 정류장이 가장 가깝습니다
달성군,한식,홍천뚝배기(본점),053-615-0707,05:30 ~ 23:30,250석,30대,없음,기타 (),가능,불가능,가능,가능,"뚝배기 5,500원  감자탕 25,000원 ~ 30,000원왕족발 25,000원  한방편육 13,000원",20년 전통의 홍천뚝배기는 본점으로서 전국에 170여개의 체인점을 운영하고 있다.  한결같이 국내산 제주청정돼지와 축협 돼지고기 만을 사용하며 푹 고아낸 돼지뼈로 만든 진한 뚝배기의 맛은 물리지 않는다.,주변에 지하철이 없습니다.,버스 정류장은 `북동초등학교앞` 정류장이 가장 가깝습니다
달성군,한식,김태희손국수식당,053-616-0765,09:00 ~ 21:00,24석,20대,www.son9c.co.kr,기타 (),가능,불가능,불가능,불가능,"손칼국수 5,000원  열무냉국수 6,000원콩국수 6,000원  해물파전 7,000원김치파전 8,000원  수육 15,000원 ~ 20,000원","김태희 칼국수는 무엇보다 커다란 그릇에 나오는 푸짐한 그 양에 먼저 놀라게 된다. 걸쭉한 국물을 꾹꾹 눌러 담은 다음, 보기좋은 양념간장을 보태면 쫄깃쫄깃한 칼국수 맛에 반하게 된다.",주변에 지하철이 없습니다.,버스 정류장은 `설티고개(달성공단방면)` 정류장이 가장 가깝습니다
달성군,한식,솔밭생수,053-616-6199,10:00 ~ 23:00,200석,80대,없음,기타 (),가능,불가능,불가능,가능,"갈비살(100g) 25,000원  생등심(100g) 20,000원순한우우거지찌개 11,000원  생삼겹(100g) 9,000원돼지참숯불(2인분) 22,000원  유황오리참숯구이, 유황오리훈제, 생오리(양념) 22,000원 ~ 44,000원닭백숙,오리백숙(예약필수) 50,000원  촌두부 8,000원","솔밭생수는 생수로 잘 알려져 있다.  이 집의 주 메뉴는 팔공 상강우만 취급하는 쇠고기와 황토논메기, 메기 찜과 탕이다. 얼큰하면서도 맵지 않은 것이 맛깔스럽다.",주변에 지하철이 없습니다.,버스 정류장은 `솔밭기세길건너` 정류장이 가장 가깝습니다
달성군,한식,비슬농장식당,053-616-5484,11:00 ~ 21:00,200석(룸10),50대,없음,기타 (),가능,불가능,불가능,가능,"꿩샤브샤브 55,000원  청둥오리불고기 40,000원토종닭백숙 45,000원  연잎밥 장아찌정식 15,000원양폐꿩탕(폐에 이로운 약선음식) 60,000원","샤브샤브를 대구 최초로 소개한 음식점. 꿩, 청둥오리 요리 전문점.달성군 사찰음식 전문점 지정 업체로 장아찌가 유명한 집.",주변에 지하철이 없습니다.,정보 없음
달성군,한식,유심정,053-632-4385,11:00 ~ 21:00,200석,없음,없음,기타 (),가능,불가능,불가능,가능,"일반 한정식 7,000원추가수육 (소) 7,000원 (대) 10,000원",유심정은 전형적인 동네 골목길 밥집이다. 저렴하지만 푸짐한 한상이다. 시내 식당 정식가격에 먹는 한정식은 싸지만 한끼 만찬의 행복을 누리기에 더 없이 좋다.,지하철 2호선 대곡역 2번 출구 약 1.2km,버스 정류장은 `화동초등학교앞` 정류장이 가장 가깝습니다.
달서구,한식,풍성손메밀묵집(대곡점),053-639-1375,10:00 ~ 22:00,57석,주변,없음,기타 (),가능,불가능,불가능,가능,"메밀묵채 7,000원  메밀칼국수 7,000원메밀막국수 5,000원  한방수육 20,000원",풍성한 맛과 영양을 그대로 풍성 손 메밀묵 대곡점 입니다.,주변에 지하철이 없습니다.,버스 정류장은 `삼성래미안2차앞` 정류장이 가장 가깝습니다.
달성군,한식,동곡원조할매손칼국수식당,053-582-0278,11:00 ~ 21:00,150석(룸3),15대,없음,기타 (),가능,불가능,불가능,가능,"손칼국수 6,000원 수육  15,000원암뽕 15,000원",3대 43년간이나 국수를 만들어온 동곡할매손칼국수의 비결은 기계로는 도저히 따라 오지 못하는 면발에 있다. 손수 밀가루를 빚고 면을 썰어낸다. 이 집은 육수를 별도로 뽑질 않는다. 면을 여러 차례 삶아낸 물 자체가 육수가 된다.,주변에 지하철이 없습니다.,버스 정류장은 `동곡초등학교 앞` 정류장이 가장 가깝습니다.
달성군,한식,손중헌원조논메기매운탕,053-583-0174,10:00 ~ 21:00,150석,50대,없음,기타 (),가능,불가능,불가능,가능,"논메기 매운탕 (소) 25,000원 (중) 35,000원 (대) 45,000원  논메기 찜 36,000원 ~ 47,000원",원조 손중헌 논메기매운탕은 말 그대로 원조격이라 할 수 있다.  50여 농가가 논농사를 짓던 옛 터전에 논메기를 양식해 이제는 달성군의 명물로 자리잡았다.,지하철 2호선 문양역 2번출구 1.5km,버스 정류장은 `문양역건너` 정류장이 가장 가깝습니다.
달성군,한식,다세정,053-588-5292,10:00 ~ 22:00,150석,30대,www.다세정.kr/skin15/main.php,영어 기타 (),가능,불가능,불가능,가능,"한약유황오리가마구이 50,000원  유황오리한방탕 50,000원한약유황오리통구이 40,000원  한약유황오리로스 40,000원통나무밥(오리주문시) 5,000원",다세정의 주메뉴는 한약재료를 넣고 500도 이상의 옹기 속에서 구워내는 황토오리가마구이로 2시간 전에 예약을 해야만 한다.,지하철 2호선 문양역 1번 출구 약 980m,버스 정류장은 `문양기지창건너` 정류장이 가장 가깝습니다.
